period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
2000-08-01,28.51290322580645,30.848387096774193,33.3,26.580645161290324,24.1,4.267741935483871,81.29032258064517,600.7,17,21,0
2000-09-01,27.69333333333333,29.89,32.2,25.763333333333332,23.9,4.126666666666667,72.16666666666667,152.6,7,14,0
2000-10-01,25.96129032258065,27.770967741935483,31.2,24.23548387096774,18.7,3.535483870967741,77.29032258064517,204.1,15,8,0
2000-11-01,21.009999999999998,22.87,26.5,19.240000000000002,14.1,3.6300000000000003,74.03333333333333,96.80000000000001,8,0,0
2000-12-01,18.848387096774193,20.951612903225808,25.4,16.983870967741936,11.3,3.967741935483871,75.61290322580645,56.0,7,0,1
2001-01-01,17.29032258064516,19.03548387096774,23.3,15.629032258064516,9.8,3.4064516129032256,78.0,47.6,7,0,3
2001-02-01,17.607142857142858,20.025000000000002,26.0,15.521428571428572,10.5,4.503571428571429,78.46428571428571,10.9,4,0,1
2001-03-01,20.55806451612903,22.799999999999997,27.9,18.64516129032258,14.3,4.15483870967742,77.06451612903226,56.5,7,0,0
2001-04-01,22.37,24.529999999999998,31.8,20.636666666666667,15.0,3.893333333333333,85.33333333333333,133.0,15,2,0
2001-05-01,26.69677419354839,29.106451612903225,32.2,25.03548387096774,22.9,4.070967741935484,82.3225806451613,162.0,16,11,0
2001-06-01,27.6,29.8,33.2,25.720000000000002,23.7,4.08,85.06666666666666,1083.6,22,14,0
2001-07-01,28.135483870967743,30.470967741935485,33.2,26.23548387096774,24.3,4.235483870967743,83.61290322580645,656.4,20,17,0
2001-08-01,29.177419354838708,31.59032258064516,34.0,27.1,24.3,4.490322580645162,79.90322580645162,318.9,15,27,0
2001-09-01,28.12,30.32,33.8,26.223333333333336,24.6,4.096666666666667,75.43333333333334,563.3,12,17,0
2001-10-01,26.08709677419355,27.783870967741933,31.2,24.635483870967743,22.0,3.148387096774193,72.64516129032258,10.7,5,2,0
2001-11-01,21.476666666666667,23.566666666666666,28.3,19.473333333333336,13.1,4.093333333333333,64.9,4.3,6,0,0
2001-12-01,18.258064516129032,20.141935483870967,26.2,16.403225806451612,8.9,3.738709677419355,72.29032258064517,44.599999999999994,5,0,3
2002-01-01,17.293548387096774,19.270967741935483,24.7,15.474193548387097,9.5,3.7967741935483876,75.54838709677419,25.0,7,0,5
2002-02-01,18.192857142857143,19.967857142857145,24.5,16.567857142857143,10.1,3.4,77.42857142857143,4.6,3,0,1
2002-03-01,21.480645161290322,23.541935483870965,27.3,19.951612903225808,14.9,3.5903225806451617,80.64516129032258,238.7,8,0,0
2002-04-01,24.596666666666668,26.94,29.7,22.836666666666666,17.8,4.1033333333333335,81.96666666666667,12.399999999999999,4,0,0
2002-05-01,27.032258064516128,29.312903225806455,31.8,25.18064516129032,22.3,4.132258064516129,80.93548387096774,275.6,17,10,0
2002-06-01,28.823333333333334,31.006666666666668,33.5,27.009999999999998,23.9,3.996666666666667,80.0,237.6,19,23,0
2002-07-01,28.883870967741935,31.33225806451613,33.6,26.70967741935484,24.5,4.622580645161291,82.09677419354838,320.8,22,26,0
2002-08-01,28.44193548387097,30.693548387096776,33.0,26.64516129032258,24.2,4.048387096774194,81.58064516129032,365.9,15,23,0
2002-09-01,27.15666666666667,29.14333333333333,33.4,25.459999999999997,23.8,3.6833333333333327,80.16666666666667,723.0,18,10,0
2002-10-01,25.154838709677417,26.845161290322583,30.2,23.690322580645162,19.6,3.154838709677419,77.51612903225806,199.0,11,1,0
2002-11-01,21.523333333333333,23.35666666666667,28.0,19.653333333333332,16.2,3.703333333333333,71.73333333333333,23.299999999999997,5,0,0
2002-12-01,18.177419354838708,20.190322580645162,25.7,16.351612903225806,6.8,3.8387096774193554,80.3225806451613,64.1,12,0,5
2003-01-01,16.087096774193547,18.274193548387096,22.8,14.17741935483871,8.8,4.096774193548387,70.74193548387096,21.7,4,0,5
2003-02-01,18.467857142857145,20.657142857142855,25.7,16.892857142857142,12.4,3.7642857142857147,81.67857142857143,15.1,2,0,0
2003-03-01,19.04516129032258,21.02258064516129,26.7,17.29032258064516,11.5,3.732258064516129,82.3225806451613,38.6,11,0,1
2003-04-01,23.936666666666667,26.123333333333335,29.8,22.353333333333335,17.8,3.77,83.16666666666667,84.50000000000001,10,0,0
2003-05-01,26.861290322580647,28.958064516129035,32.1,25.429032258064513,21.3,3.5290322580645164,81.51612903225806,248.99999999999997,11,10,0
2003-06-01,27.66,29.776666666666664,33.3,25.98,23.9,3.7966666666666664,81.43333333333334,523.5,18,16,0
2003-07-01,29.570967741935487,32.39032258064516,33.6,27.570967741935487,26.3,4.819354838709677,76.0,101.80000000000001,10,30,0
