period_month,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax
2024-11-01,103.5551666666667,3889.291866666667,168.4994,1514.832966666663,194.646433333333,5507.070799999997,671.022933333333
2024-12-01,116.090935483871,3816.435032258075,161.944,1482.115516129028,186.363774193548,5455.974387096772,661.889548387097
2025-01-01,118.8039032258065,3791.793322580641,160.452483870968,1475.708322580644,182.933806451613,5384.694129032258,674.888483870968
2025-02-01,112.68339285714279,3789.1464285714324,158.090928571429,1493.655857142861,183.572285714286,5406.37453571429,676.654928571429
2025-03-01,107.05193548387089,3831.937387096775,166.353419354839,1519.200645161291,185.491483870968,5413.667129032257,684.697096774194
2025-04-01,108.27606666666671,3649.7347000000027,155.6165,1451.192433333333,179.325466666667,5124.53363333333,662.135666666667
2025-05-01,107.3434193548387,3781.33729032258,162.078806451613,1514.4388064516172,186.100774193548,5253.240419354836,663.860129032258
2025-06-01,92.5498666666666,3762.0129333333302,162.103833333333,1520.0455000000002,187.010566666667,5254.215933333337,674.4206
2025-07-01,102.5565483870968,3610.894096774189,154.674161290323,1459.649225806453,177.057774193548,5222.7310967741905,667.181967741936
2025-08-01,111.1330645161289,3590.21412903226,151.439,1444.9771290322592,179.87264516129,5273.690935483874,664.285709677419
2025-09-01,79.68656666666669,3617.0773,158.8556,1471.894800000003,179.1524,5199.405699999997,632.981666666667
2025-10-01,107.8059999999999,3869.466967741935,168.808,1551.801645161286,186.842193548387,5534.455806451613,669.559322580645
2025-11-01,111.4985333333334,3916.873633333333,168.7386,1559.828333333337,190.610233333333,5587.595400000003,673.8226
2025-12-01,119.73258064516119,3805.990225806446,161.173806451613,1514.7962903225848,182.079096774194,5465.013903225802,679.667483870968
2026-01-01,113.53832258064509,3862.413032258063,165.280096774194,1537.455225806447,185.584516129032,5559.127774193543,627.491741935484
