period_month,mode,ttd_pto_code,avg_daily_pax
2015-10-01,Ferries,STF,55.2669032258064
2015-10-01,Ferries,LFS,39.6534193548387
2015-10-01,Railways,HKT,182.596193548387
2015-10-01,Railways,MTRC,495.338419354839
2015-10-01,Railways,MTRC,45.0823548387097
2015-10-01,Railways,MTRC,4680.93229032258
2015-10-01,Fran_Bus,NLB,70.2327741935484
2015-10-01,Fran_Bus,LWB,100.435258064516
2015-10-01,Fran_Bus,NWFB,467.141258064516
2015-10-01,Fran_Bus,CTB,630.925258064516
2015-10-01,Fran_Bus,KMB,2696.09870967742
2015-10-01,Ferries,NWFF,40.5237419354839
2015-10-01,PLB,RMB,320.637032258064
2015-10-01,PLB,GMB,1559.76138709677
2015-10-01,LRB,LRB,141.100483870968
2015-10-01,RS,RS,237.175709677419
2015-10-01,TAX,TAX,961.203218387097
2015-11-01,Railways,MTRC,43.6006666666667
2015-11-01,Railways,MTRC,497.8553
2015-11-01,Fran_Bus,NWFB,479.368266666667
2015-11-01,Fran_Bus,LWB,101.990233333333
2015-11-01,Fran_Bus,NLB,71.8537666666667
2015-11-01,PLB,GMB,1583.648
2015-11-01,PLB,RMB,321.401733333333
